date,time,CO,O3,NO2,SO2 ,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
170107,1900,0.6,14,43,-,-,41,30.4,265,0.7,
170107,2000,0.8,9,59,-,-,40,29.4,18,0.5,
170107,2100,0.8,9,58,-,-,41,29.6,301,0.5,
170107,2200,0.9,3,68,-,-,41,29.1,342,0.5,
170107,2300,1,2,66,-,-,40,28.8,307,0.5,
170107,2400,1,2,63,-,-,40,29.3,340,0.6,
170108,100,0.9,2,56,-,-,40,29.2,281,0.5,
170108,200,0.7,6,42,-,-,41,29.3,92,0.7,
170108,300,0.6,9,30,-,-,41,29.1,29,0.8,
170108,400,0.6,5,35,-,-,41,28.9,6,0.8,
170108,500,0.6,4,33,-,-,41,28.7,13,1.3,
170108,600,0.6,3,33,-,-,41,28.5,75,0.5,
170108,700,0.7,2,36,-,-,40,28.2,154,0.5,
170108,800,1,2,37,-,-,40,28.1,14,0.5,
170108,900,1,2,35,-,-,40,28.3,51,0.5,
170108,1000,1,3,38,-,-,40,28.6,11,0.5,
170108,1100,0.8,4,32,-,-,35,28.3,280,0.5,
170108,1200,0.4,4,28,-,-,38,27.7,312,0.6,
170108,1300,0.8,3,30,-,-,36,26.1,156,0.5,
170108,1400,0.6,5,29,-,-,35,26.6,54,0.6,
170108,1500,0.4,6,24,-,-,25,27.2,154,0.9,
170108,1600,0.3,8,21,-,-,32,27.9,309,1.7,
170108,1700,0.3,7,21,-,-,34,27.6,139,1.1,
170108,1800,0.5,4,24,-,-,34,27.3,10,0.9,
170108,1900,0.7,2,28,-,-,31,27,347,0.5,
170108,2000,0.9,2,29,-,-,25,26.7,28,0.5,
170108,2100,0.8,1,28,-,-,26,26.8,42,0.5,
170108,2200,0.9,2,26,-,-,25,26.7,48,0.7,
170108,2300,0.8,2,25,-,-,27,26.8,92,0.7,
170108,2400,0.7,2,26,-,-,28,26.8,37,0.5,
170109,100,0.7,2,25,-,-,31,26.9,333,0.5,
170109,200,0.7,2,26,-,-,32,26.8,3,0.5,
170109,300,0.5,2,26,-,-,27,26.5,131,0.5,
170109,400,0.6,2,23,-,-,-,26.2,37,1,
170109,500,0.9,2,25,-,-,-,26.2,20,0.7,
170109,600,0.5,2,23,-,-,-,26.3,343,0.5,
170109,700,1,3,25,-,-,-,26.3,80,0.5,
170109,800,1.5,2,29,-,-,-,26.5,181,0.5,
170109,900,1.9,2,33,-,-,-,26.5,36,0.5,
170109,1000,1.5,3,34,-,-,-,26.5,49,0.7,
170109,1100,1.5,3,33,-,-,-,27.1,198,0.6,
170109,1200,0.8,3,32,-,-,28,27.7,118,1.6,
170109,1300,0.8,5,33,-,-,32,28.2,296,1.9,
170109,1400,0.8,9,26,-,-,34,28.6,341,1.9,
170109,1500,0.8,6,26,-,-,37,28.7,5,1.9,
170109,1600,0.7,7,28,-,-,36,28.4,32,1.8,
170109,1700,0.7,5,31,-,-,35,28.2,16,1,
170109,1800,0.9,3,37,-,-,-,27.4,180,0.6,
170109,1900,0.9,2,32,-,-,-,26.9,58,0.6,
170109,2000,0.9,2,31,-,-,-,26.8,62,0.7,
170109,2100,0.9,2,29,-,-,-,26.5,299,0.6,
170109,2200,1,4,34,-,-,-,26.4,272,1,
170109,2300,0.8,4,32,-,-,39,26.1,299,0.6,
170109,2400,0.7,4,32,-,-,35,25.9,279,0.5,
170110,100,0.7,3,27,-,-,37,25.9,249,1.4,
170110,200,0.4,5,16,-,-,38,25.2,309,0.6,
170110,300,0.4,3,22,-,-,51,25.1,57,0.5,
170110,400,0.5,2,25,-,-,51,25.3,177,0.5,
170110,500,0.8,3,24,-,-,53,25.2,133,0.5,
170110,600,0.8,3,29,-,-,54,25.1,186,0.5,
170110,700,1,2,33,-,-,54,25.2,184,0.5,
170110,800,1.3,2,32,-,-,54,25.2,45,0.5,
170110,900,1.1,2,30,-,-,53,25.5,145,0.5,
170110,1000,1.4,3,36,-,-,52,25.7,183,0.5,
170110,1100,1.2,4,36,-,-,52,25.5,290,0.5,
170110,1200,1.1,4,39,-,-,50,26,230,0.5,
170110,1300,0.9,3,40,-,-,49,26.5,124,0.5,
170110,1400,0.9,4,41,-,-,48,26.9,338,0.8,
170110,1500,0.7,5,41,-,-,46,27.8,136,0.5,
170110,1600,0.8,8,47,-,-,46,27.8,45,0.5,
170110,1700,1,9,51,-,-,46,28.1,139,0.5,
170110,1800,1.1,6,58,-,-,45,28.1,104,0.5,
170110,1900,1.5,3,65,-,-,45,28,313,0.5,
170110,2000,1.2,3,47,-,-,48,27.4,103,0.5,
170110,2100,1.3,2,53,-,-,47,27.4,203,0.5,
170110,2200,1.3,3,49,-,-,47,27.2,4,0.5,
170110,2300,1,5,45,-,-,47,27.1,13,0.5,
170110,2400,0.8,3,38,-,-,47,26.9,224,0.5,
170111,100,0.5,2,30,-,-,48,26.5,169,0.5,
170111,200,0.5,2,25,-,-,47,26.3,39,0.5,
170111,300,0.4,2,22,-,-,48,26.2,163,0.5,
170111,400,0.4,3,24,-,-,48,26.3,149,0.5,
170111,500,0.4,3,22,-,-,49,26.3,49,0.5,
170111,600,0.7,3,27,-,-,50,26.3,33,0.5,
170111,700,0.8,3,27,-,-,51,26.1,192,0.5,
170111,800,1.5,2,34,-,-,49,26.5,179,0.5,
170111,900,1.3,3,33,-,-,46,27.5,189,0.5,
170111,1000,1,4,30,-,-,44,28.2,160,0.5,
170111,1100,0.7,4,26,-,-,42,29.3,272,0.6,
170111,1200,0.6,5,22,-,-,41,30,177,0.9,
170111,1300,0.6,8,20,-,-,41,30.2,162,0.9,
170111,1400,0.6,8,26,-,-,41,29.4,173,0.7,
170111,1500,0.4,7,21,-,-,41,30.2,147,1.2,
170111,1600,0.5,8,25,-,-,41,30.1,194,1,
170111,1700,0.7,7,30,-,-,41,29.8,180,0.7,
170111,1800,0.7,8,35,-,-,41,29.3,155,0.5,
170111,1900,1,6,41,-,-,42,28.7,187,0.5,
170111,2000,1,2,34,-,-,42,28.3,203,0.5,
170111,2100,0.8,3,28,-,-,42,28.1,228,0.5,
170111,2200,0.7,3,25,-,-,42,27.8,147,0.5,
170111,2300,0.6,3,26,-,-,42,27.6,181,0.5,
170111,2400,0.6,2,26,-,-,42,27.6,183,0.5,
170112,100,0.4,3,22,-,-,41,27.4,197,0.5,
170112,200,0.4,5,16,-,-,42,27.5,229,0.6,
170112,300,0.4,5,14,-,-,42,27.7,175,0.5,
170112,400,0.2,7,12,-,-,43,27.6,197,0.5,
170112,500,0.4,5,19,-,-,44,27.6,194,0.5,
170112,600,0.4,4,19,-,-,45,27.2,176,0.5,
170112,700,0.8,2,24,-,-,47,26.9,138,0.5,
170112,800,1.4,3,29,-,-,46,27.2,159,0.5,
170112,900,1.3,2,28,-,-,44,28.4,173,0.5,
170112,1000,0.8,5,23,-,-,42,29.4,161,0.6,
170112,1100,0.7,5,23,-,-,42,29.4,188,0.9,
170112,1200,0.5,6,22,-,-,41,30.2,218,1.2,
170112,1300,0.5,7,18,-,-,41,30.4,194,1.4,
170112,1400,0.4,7,19,-,-,41,30.1,182,1.1,
170112,1500,0.6,6,16,-,-,41,29.9,198,1.2,
170112,1600,0.6,6,21,-,-,41,29.9,249,1.2,
170112,1700,0.8,6,22,-,-,41,29.7,207,1.1,
170112,1800,0.8,5,23,-,-,41,29.4,192,1.2,
170112,1900,1,3,28,-,-,41,28.8,123,0.8,
170112,2000,0.6,5,20,-,-,41,28.5,118,0.7,
170112,2100,0.5,4,20,-,-,41,28.4,213,0.6,
170112,2200,0.5,5,15,-,-,41,28.2,134,0.5,
170112,2300,0.4,6,13,-,-,42,28.2,167,0.6,
170112,2400,0.3,6,12,-,-,42,28.2,215,0.6,
170113,100,0.2,6,8,-,-,42,28,304,0.5,
170113,200,0.2,6,10,-,-,43,28,173,0.5,
170113,300,0.2,5,9,-,-,43,27.9,190,0.5,
170113,400,0.2,5,10,-,-,44,27.7,19,0.5,
170113,500,0.4,5,17,-,-,45,27.6,191,0.5,
170113,600,0.8,6,23,-,-,44,27.7,197,0.5,
170113,700,0.8,3,23,-,-,43,27.8,280,0.5,
170113,800,1.6,3,26,-,-,44,28.1,161,0.5,
170113,900,1.5,3,24,-,-,42,28.6,297,0.6,
170113,1000,1,5,25,-,-,42,28.9,277,0.5,
170113,1100,0.8,4,26,-,-,41,29.9,319,0.6,
170113,1200,0.6,9,30,-,-,41,30.9,263,1.9,
170113,1300,0.4,12,24,-,-,41,31,277,2.2,
170113,1400,0.4,7,26,-,-,41,31.4,263,1.6,
170113,1500,0.4,15,34,-,-,41,31.6,265,1.7,
170113,1600,0.5,21,36,-,-,41,31.3,277,1.4,
170113,1700,0.6,20,34,-,-,41,31.3,288,1.2,
170113,1800,0.9,13,44,-,-,41,31.1,171,0.5,
170113,1900,0.8,10,37,-,-,41,30.2,286,0.5,
170113,2000,0.5,10,27,-,-,41,29.6,191,0.5,
170113,2100,0.8,5,32,-,-,41,29.4,150,0.5,
170113,2200,0.9,4,34,-,-,41,29.1,167,0.5,
170113,2300,0.4,6,27,-,-,41,28.4,184,0.5,
170113,2400,0.3,6,24,-,-,43,28.1,163,0.5,
170114,100,0.3,6,19,-,-,45,27.9,326,0.5,
170114,200,0.3,6,16,-,-,45,27.6,287,0.5,
170114,300,0.4,6,17,-,-,47,27.3,38,0.5,
